ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010000006;"moule d'orfèvre ; boucle d'oreille";;"-30 / 1952 (?)  (époque islamique [?] ; époque romaine [?])";"E 11589";"Département des Antiquités égyptiennes";;"non exposé";
cl010000007;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 14156; M. 4671";"Département des Antiquités égyptiennes";;"non exposé";
cl010000008;verrou;;"641 / 1952  (époque islamique)";"E 14055 B";"Département des Antiquités égyptiennes";;"non exposé";
cl010000010;"papyrus documentaire";;"600 / 699  (époque byzantine ; époque islamique)";"E 6673";"Département des Antiquités égyptiennes";;"non exposé";
cl010000011;papyrus;;"395 / 641 (?)  (époque byzantine [?])";"E 6679";"Département des Antiquités égyptiennes";;"non exposé";
cl010000012;papyrus;;"395 / 641 (?)  (époque byzantine [?])";"E 6679";"Département des Antiquités égyptiennes";;"non exposé";
cl010000013;papyrus;;"395 / 641 (?)  (époque byzantine [?])";"E 6679";"Département des Antiquités égyptiennes";;"non exposé";
cl010000015;papyrus;;"395 / 641 (?)  (époque byzantine [?])";"E 7143";"Département des Antiquités égyptiennes";;"non exposé";
cl010000016;"papyrus documentaire";;"-30 / 395  (époque romaine)";"E 3321";"Département des Antiquités égyptiennes";;"non exposé";
cl010000019;"vase ; verrerie ; avec contenu";;"641 / 1952  (époque islamique)";"E 25097 (?); E 25106 (?)";"Département des Antiquités égyptiennes";;"non exposé";
cl010000023;figurine;;"-1069 / -664  (Troisième Période intermédiaire)";"E 14264";"Département des Antiquités égyptiennes";;"non exposé";
cl010000028;châle;;"395 / 641  (époque byzantine)";"E 26118; AC 151; PH 105; C 50";"Département des Antiquités égyptiennes";;"non exposé";
cl010000029;vase;;"641 / 1952  (époque islamique)";"E 25288";"Département des Antiquités égyptiennes";;"non exposé";
cl010000030;figurine;;"395 / 641 (?)  (époque byzantine [?])";"E 22337; MG 4838";"Département des Antiquités égyptiennes";;"non exposé";
cl010000031;châle;;"395 / 641  (époque byzantine)";"E 25277; X 4969; TC 863; I 112";"Département des Antiquités égyptiennes";;"non exposé";
cl010000032;tenture;;"395 / 641  (époque byzantine)";"E 25278; X 4965; TC 864";"Département des Antiquités égyptiennes";;"non exposé";
cl010000033;"châle ; tunique";;"395 / 641  (époque byzantine)";"E 25344; X 4966; TC 865";"Département des Antiquités égyptiennes";;"non exposé";
cl010000035;plaque;;"-30 / 395  (époque romaine)";"E 21513; MG 4014; E 29808";"Département des Antiquités égyptiennes";;"non exposé";
cl010000036;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 20872; MG 3373";"Département des Antiquités égyptiennes";;"non exposé";
cl010000038;pendentif;;"-30 / 395 (?)  (époque romaine [?])";"E 22864; Curtis n°365";"Département des Antiquités égyptiennes";;"non exposé";
cl010000039;perle;;"641 / 1952  (époque islamique)";"E 22957";"Département des Antiquités égyptiennes";;"non exposé";
cl010000040;"figurine ; sarcophage miniature";;"-30 / 395 (?)  (époque romaine [?])";"E 14262; X 5410";"Département des Antiquités égyptiennes";;"non exposé";
cl010000041;"épingle à cheveux";;"-30 / 641 (?)  (époque romaine [?] ; époque byzantine [?])";"E 14265; X 5485";"Département des Antiquités égyptiennes";;"non exposé";
cl010000042;figurine;;"-30 / 395 (?)  (époque romaine [?] ; époque moderne [?])";"E 14358; X 5446";"Département des Antiquités égyptiennes";;"non exposé";
cl010000048;louche;;"-664 / 641 (?)  (Basse Époque)";"N 2111 A";"Département des Antiquités égyptiennes";;"non exposé";
cl010000051;"décor de textile";;"395 / 641  (époque byzantine)";"E 26168; AC 201; PH 197; D 163";"Département des Antiquités égyptiennes";;"non exposé";
cl010000052;"décor de textile";;"395 / 641  (époque byzantine)";"E 26169; AC 202; PH 198; D 164";"Département des Antiquités égyptiennes";;"non exposé";
cl010000054;"tunique d'enfant";;"1000 / 1099  (Fatimides)";"E 26172; H 81; AC 205; PH 251";"Département des Antiquités égyptiennes";;"non exposé";
cl010000055;tenture;;"395 / 641  (époque byzantine)";"E 26173; AC 206; PH 302; C 29";"Département des Antiquités égyptiennes";;"non exposé";
cl010000056;"tabula ; clavus";;"395 / 641  (époque byzantine)";"E 26174; AC 207; PH 303; D 84";"Département des Antiquités égyptiennes";;"non exposé";
cl010000057;orbiculus;;"395 / 641  (époque byzantine)";"E 26175; AC 208; PH 304; D 99";"Département des Antiquités égyptiennes";;"non exposé";
cl010000058;orbiculus;;"395 / 641  (époque byzantine)";"E 26176; AC 209; PH 305; H 102";"Département des Antiquités égyptiennes";;"non exposé";
cl010000059;tabula;;"395 / 641  (époque byzantine)";"E 26177; AC 210; PH 306; E 52";"Département des Antiquités égyptiennes";;"non exposé";
cl010000060;tabula;;"395 / 641  (époque byzantine)";"E 26178; AC 211";"Département des Antiquités égyptiennes";;"non exposé";
cl010000061;tabula;;"395 / 641  (époque byzantine)";"E 26179; AC 212; PH 308; D 152";"Département des Antiquités égyptiennes";;"non exposé";
cl010000062;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26180; D 77; AC 213; PH 312";"Département des Antiquités égyptiennes";;"non exposé";
cl010000063;tabula;;"395 / 641  (époque byzantine)";"E 26182; AC 216; PH 326; D 89";"Département des Antiquités égyptiennes";;"non exposé";
cl010000064;tabula;;"395 / 641  (époque byzantine)";"E 26183; AC 217; PH 339; D 108";"Département des Antiquités égyptiennes";;"non exposé";
cl010000065;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26187; AC 221; PH 349; E 33";"Département des Antiquités égyptiennes";;"non exposé";
cl010000066;tabula;;"641 / 1171  (début époque islamique)";"E 26559; AC 593; PH 1896; H 145";"Département des Antiquités égyptiennes";;"non exposé";
cl010000067;"tunique ; clavus ; tabula";;"395 / 641  (époque byzantine)";"E 26561; AC 595; PH 1899; H 151";"Département des Antiquités égyptiennes";;"non exposé";
cl010000068;clavus;;"395 / 641  (époque byzantine)";"E 26562; AC 596; PH 1900; H 152";"Département des Antiquités égyptiennes";;"non exposé";
cl010000069;clavus;;"395 / 641  (époque byzantine)";"E 26563; AC 597; PH 1902; H 153";"Département des Antiquités égyptiennes";;"non exposé";
cl010000070;clavus;;"395 / 641  (époque byzantine)";"E 26564 A; AC 598; PH 2381; G 351";"Département des Antiquités égyptiennes";;"non exposé";
cl010000071;"clavus ; tabula";;"641 / 1171  (début époque islamique)";"E 26564 B; AC 598; PH 1904; H 154; E 26565 ERR";"Département des Antiquités égyptiennes";;"non exposé";
cl010000072;"manche d'habit ; bande de poignet";;"400 / 540  (époque byzantine)";"E 26566; AC 600; PH 1910; H 155";"Département des Antiquités égyptiennes";;"non exposé";
cl010000073;"bande décorative d'habillement ; tabula";;"395 / 641  (époque byzantine)";"E 26568; AC 602; PH 1914; H 156";"Département des Antiquités égyptiennes";;"non exposé";
cl010000074;clavus;;"395 / 641  (époque byzantine)";"E 26570; AC 604; PH 1917";"Département des Antiquités égyptiennes";;"non exposé";
